id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med nofperflm)
1012;1015;Left-Accumbens-area;Brain-Stem;80;83;Left-Accumbens-area;Brain-Stem;289;0.160462
430;433;rh.inferiortemporal_15;rh.middletemporal_12;29;30;ctx-rh-inferiortemporal;ctx-rh-middletemporal;223;0.178571
430;454;rh.inferiortemporal_15;rh.bankssts_2;29;31;ctx-rh-inferiortemporal;ctx-rh-bankssts;228;0.209154
430;452;rh.inferiortemporal_15;rh.bankssts_3;29;31;ctx-rh-inferiortemporal;ctx-rh-bankssts;224;0.165365
430;436;rh.inferiortemporal_15;rh.middletemporal_15;29;30;ctx-rh-inferiortemporal;ctx-rh-middletemporal;244;0.167367
901;959;lh.fusiform_11;lh.bankssts_4;66;72;ctx-lh-fusiform;ctx-lh-bankssts;250;0.150241
901;1013;lh.fusiform_11;Left-Hippocampus;66;81;ctx-lh-fusiform;Left-Hippocampus;231;0.094340
901;938;lh.fusiform_11;lh.inferiortemporal_7;66;70;ctx-lh-fusiform;ctx-lh-inferiortemporal;239;0.187354
113;117;rh.superiorfrontal_16;rh.superiorfrontal_31;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;244;0.224451
189;503;rh.caudalanteriorcingulate_5;Right-Caudate;13;36;ctx-rh-caudalanteriorcingulate;Right-Caudate;400;0.508915
452;507;rh.bankssts_3;Right-Hippocampus;31;40;ctx-rh-bankssts;Right-Hippocampus;255;0.173913
480;498;rh.superiortemporal_20;rh.insula_3;32;34;ctx-rh-superiortemporal;ctx-rh-insula;222;0.126095
341;358;rh.pericalcarine_1;rh.lateraloccipital_7;22;23;ctx-rh-pericalcarine;ctx-rh-lateraloccipital;225;0.193966
341;359;rh.pericalcarine_1;rh.lateraloccipital_3;22;23;ctx-rh-pericalcarine;ctx-rh-lateraloccipital;285;0.252366
107;127;rh.superiorfrontal_42;rh.caudalmiddlefrontal_11;8;9;ctx-rh-superiorfrontal;ctx-rh-caudalmiddlefrontal;250;0.154639
107;110;rh.superiorfrontal_42;rh.superiorfrontal_33;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;303;0.328084
107;503;rh.superiorfrontal_42;Right-Caudate;8;36;ctx-rh-superiorfrontal;Right-Caudate;215;0.094340
107;111;rh.superiorfrontal_42;rh.superiorfrontal_28;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;320;0.367818
