id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(avg nofperflm)
341;358;rh.pericalcarine_1;rh.lateraloccipital_7;22;23;ctx-rh-pericalcarine;ctx-rh-lateraloccipital;225;0.307840
341;359;rh.pericalcarine_1;rh.lateraloccipital_3;22;23;ctx-rh-pericalcarine;ctx-rh-lateraloccipital;285;0.370409
107;127;rh.superiorfrontal_42;rh.caudalmiddlefrontal_11;8;9;ctx-rh-superiorfrontal;ctx-rh-caudalmiddlefrontal;250;0.240683
107;110;rh.superiorfrontal_42;rh.superiorfrontal_33;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;303;0.409240
107;503;rh.superiorfrontal_42;Right-Caudate;8;36;ctx-rh-superiorfrontal;Right-Caudate;215;0.144934
107;111;rh.superiorfrontal_42;rh.superiorfrontal_28;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;320;0.494157
87;90;rh.superiorfrontal_19;rh.superiorfrontal_27;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;217;0.296583
87;89;rh.superiorfrontal_19;rh.superiorfrontal_1;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;242;0.249458
77;504;rh.rostralmiddlefrontal_1;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;256;0.226193
417;508;rh.inferiortemporal_16;Right-Amygdala;29;41;ctx-rh-inferiortemporal;Right-Amygdala;336;0.377582
417;498;rh.inferiortemporal_16;rh.insula_3;29;34;ctx-rh-inferiortemporal;ctx-rh-insula;278;0.226336
12;16;rh.lateralorbitofrontal_12;rh.lateralorbitofrontal_14;1;1;ctx-rh-lateralorbitofrontal;ctx-rh-lateralorbitofrontal;238;0.183180
12;504;rh.lateralorbitofrontal_12;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;383;0.524413
12;35;rh.lateralorbitofrontal_12;rh.parstriangularis_8;1;5;ctx-rh-lateralorbitofrontal;ctx-rh-parstriangularis;230;0.196369
12;36;rh.lateralorbitofrontal_12;rh.parstriangularis_5;1;5;ctx-rh-lateralorbitofrontal;ctx-rh-parstriangularis;210;0.253678
312;359;rh.precuneus_3;rh.lateraloccipital_3;20;23;ctx-rh-precuneus;ctx-rh-lateraloccipital;214;0.290201
507;508;Right-Hippocampus;Right-Amygdala;40;41;Right-Hippocampus;Right-Amygdala;347;0.228657
507;1015;Right-Hippocampus;Brain-Stem;40;83;Right-Hippocampus;Brain-Stem;265;0.275185
507;507;Right-Hippocampus;Right-Hippocampus;40;40;Right-Hippocampus;Right-Hippocampus;417;0.893024
573;1010;lh.rostralmiddlefrontal_23;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;333;0.228951
573;1009;lh.rostralmiddlefrontal_23;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;240;0.194297
1002;1010;lh.insula_6;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;242;0.199483
237;504;rh.supramarginal_11;Right-Putamen;17;37;ctx-rh-supramarginal;Right-Putamen;266;0.247311
370;396;rh.lateraloccipital_22;rh.fusiform_17;23;25;ctx-rh-lateraloccipital;ctx-rh-fusiform;228;0.223738
370;390;rh.lateraloccipital_22;rh.fusiform_2;23;25;ctx-rh-lateraloccipital;ctx-rh-fusiform;214;0.234685
567;578;lh.rostralmiddlefrontal_26;lh.rostralmiddlefrontal_7;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;299;0.287488
567;573;lh.rostralmiddlefrontal_26;lh.rostralmiddlefrontal_23;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;314;0.406133
506;1015;Right-Accumbens-area;Brain-Stem;39;83;Right-Accumbens-area;Brain-Stem;299;0.239514
506;507;Right-Accumbens-area;Right-Hippocampus;39;40;Right-Accumbens-area;Right-Hippocampus;321;0.347050
116;119;rh.superiorfrontal_17;rh.superiorfrontal_34;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;223;0.253418
144;504;rh.precentral_23;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;376;0.510782
144;159;rh.precentral_23;rh.precentral_7;10;10;ctx-rh-precentral;ctx-rh-precentral;258;0.388324
144;505;rh.precentral_23;Right-Pallidum;10;38;ctx-rh-precentral;Right-Pallidum;270;0.151318
144;503;rh.precentral_23;Right-Caudate;10;36;ctx-rh-precentral;Right-Caudate;285;0.213772
144;205;rh.precentral_23;rh.postcentral_24;10;16;ctx-rh-precentral;ctx-rh-postcentral;256;0.278912
144;493;rh.precentral_23;rh.insula_11;10;34;ctx-rh-precentral;ctx-rh-insula;211;0.187720
100;102;rh.superiorfrontal_38;rh.superiorfrontal_5;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;227;0.251056
965;1013;lh.superiortemporal_24;Left-Hippocampus;73;81;ctx-lh-superiortemporal;Left-Hippocampus;384;0.646988
661;1011;lh.precentral_6;Left-Pallidum;51;79;ctx-lh-precentral;Left-Pallidum;232;0.150990
661;769;lh.precentral_6;lh.superiorparietal_27;51;59;ctx-lh-precentral;ctx-lh-superiorparietal;209;0.258128
661;1010;lh.precentral_6;Left-Putamen;51;78;ctx-lh-precentral;Left-Putamen;393;0.928369
661;992;lh.precentral_6;lh.insula_2;51;75;ctx-lh-precentral;ctx-lh-insula;347;0.449930
661;669;lh.precentral_6;lh.precentral_15;51;51;ctx-lh-precentral;ctx-lh-precentral;263;0.407353
661;996;lh.precentral_6;lh.insula_8;51;75;ctx-lh-precentral;ctx-lh-insula;335;0.365152
661;1008;lh.precentral_6;Left-Thalamus-Proper;51;76;ctx-lh-precentral;Left-Thalamus-Proper;263;0.267497
661;1009;lh.precentral_6;Left-Caudate;51;77;ctx-lh-precentral;Left-Caudate;298;0.194002
120;172;rh.superiorfrontal_26;rh.paracentral_3;8;11;ctx-rh-superiorfrontal;ctx-rh-paracentral;254;0.343070
254;504;rh.supramarginal_17;Right-Putamen;17;37;ctx-rh-supramarginal;Right-Putamen;333;0.235977
254;284;rh.supramarginal_17;rh.inferiorparietal_13;17;19;ctx-rh-supramarginal;ctx-rh-inferiorparietal;251;0.487335
254;502;rh.supramarginal_17;Right-Thalamus-Proper;17;35;ctx-rh-supramarginal;Right-Thalamus-Proper;262;0.235217
254;256;rh.supramarginal_17;rh.superiorparietal_24;17;18;ctx-rh-supramarginal;ctx-rh-superiorparietal;264;0.378935
254;255;rh.supramarginal_17;rh.superiorparietal_13;17;18;ctx-rh-supramarginal;ctx-rh-superiorparietal;281;0.368692
254;507;rh.supramarginal_17;Right-Hippocampus;17;40;ctx-rh-supramarginal;Right-Hippocampus;350;0.334991
254;503;rh.supramarginal_17;Right-Caudate;17;36;ctx-rh-supramarginal;Right-Caudate;214;0.258045
496;504;rh.insula_7;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;397;0.353614
607;609;lh.superiorfrontal_22;lh.superiorfrontal_20;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;292;0.193313
607;613;lh.superiorfrontal_22;lh.superiorfrontal_7;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;309;0.445920
607;612;lh.superiorfrontal_22;lh.superiorfrontal_36;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;310;0.451316
607;615;lh.superiorfrontal_22;lh.superiorfrontal_18;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;221;0.257500
607;616;lh.superiorfrontal_22;lh.superiorfrontal_34;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;326;0.516761
607;614;lh.superiorfrontal_22;lh.superiorfrontal_2;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;305;0.481422
607;703;lh.superiorfrontal_22;lh.posteriorcingulate_6;49;55;ctx-lh-superiorfrontal;ctx-lh-posteriorcingulate;222;0.139952
607;608;lh.superiorfrontal_22;lh.superiorfrontal_27;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;230;0.164040
205;210;rh.postcentral_24;rh.postcentral_11;16;16;ctx-rh-postcentral;ctx-rh-postcentral;217;0.246230
644;685;lh.precentral_12;lh.paracentral_6;51;52;ctx-lh-precentral;ctx-lh-paracentral;221;0.338879
644;684;lh.precentral_12;lh.paracentral_4;51;52;ctx-lh-precentral;ctx-lh-paracentral;273;0.318909
927;947;lh.inferiortemporal_5;lh.middletemporal_14;70;71;ctx-lh-inferiortemporal;ctx-lh-middletemporal;248;0.265288
235;504;rh.supramarginal_19;Right-Putamen;17;37;ctx-rh-supramarginal;Right-Putamen;319;0.327804
235;249;rh.supramarginal_19;rh.supramarginal_6;17;17;ctx-rh-supramarginal;ctx-rh-supramarginal;241;0.307255
235;254;rh.supramarginal_19;rh.supramarginal_17;17;17;ctx-rh-supramarginal;ctx-rh-supramarginal;275;0.383345
301;455;rh.inferiorparietal_18;rh.bankssts_1;19;31;ctx-rh-inferiorparietal;ctx-rh-bankssts;215;0.175099
301;507;rh.inferiorparietal_18;Right-Hippocampus;19;40;ctx-rh-inferiorparietal;Right-Hippocampus;335;0.301937
301;490;rh.inferiorparietal_18;rh.insula_5;19;34;ctx-rh-inferiorparietal;ctx-rh-insula;270;0.263381
694;1009;lh.caudalanteriorcingulate_4;Left-Caudate;54;77;ctx-lh-caudalanteriorcingulate;Left-Caudate;404;1.057775
213;504;rh.postcentral_27;Right-Putamen;16;37;ctx-rh-postcentral;Right-Putamen;275;0.229971
94;504;rh.superiorfrontal_11;Right-Putamen;8;37;ctx-rh-superiorfrontal;Right-Putamen;272;0.196650
94;129;rh.superiorfrontal_11;rh.caudalmiddlefrontal_1;8;9;ctx-rh-superiorfrontal;ctx-rh-caudalmiddlefrontal;219;0.294066
94;98;rh.superiorfrontal_11;rh.superiorfrontal_25;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;247;0.401036
94;103;rh.superiorfrontal_11;rh.superiorfrontal_22;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;235;0.170554
94;503;rh.superiorfrontal_11;Right-Caudate;8;36;ctx-rh-superiorfrontal;Right-Caudate;297;0.328250
816;965;lh.inferiorparietal_20;lh.superiortemporal_24;60;73;ctx-lh-inferiorparietal;ctx-lh-superiortemporal;270;0.286221
51;504;rh.parsopercularis_2;Right-Putamen;6;37;ctx-rh-parsopercularis;Right-Putamen;401;1.145069
51;494;rh.parsopercularis_2;rh.insula_10;6;34;ctx-rh-parsopercularis;ctx-rh-insula;309;0.320705
51;505;rh.parsopercularis_2;Right-Pallidum;6;38;ctx-rh-parsopercularis;Right-Pallidum;221;0.185076
51;503;rh.parsopercularis_2;Right-Caudate;6;36;ctx-rh-parsopercularis;Right-Caudate;323;0.381418
568;578;lh.rostralmiddlefrontal_18;lh.rostralmiddlefrontal_7;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;281;0.350076
568;573;lh.rostralmiddlefrontal_18;lh.rostralmiddlefrontal_23;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;253;0.271676
652;655;lh.precentral_10;lh.precentral_35;51;51;ctx-lh-precentral;ctx-lh-precentral;213;0.274745
791;852;lh.superiorparietal_1;lh.pericalcarine_6;59;63;ctx-lh-superiorparietal;ctx-lh-pericalcarine;261;0.300725
791;841;lh.superiorparietal_1;lh.cuneus_1;59;62;ctx-lh-superiorparietal;ctx-lh-cuneus;225;0.271436
791;838;lh.superiorparietal_1;lh.precuneus_18;59;61;ctx-lh-superiorparietal;ctx-lh-precuneus;230;0.255138
493;504;rh.insula_11;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;368;0.314910
796;852;lh.inferiorparietal_16;lh.pericalcarine_6;60;63;ctx-lh-inferiorparietal;ctx-lh-pericalcarine;259;0.336238
796;806;lh.inferiorparietal_16;lh.inferiorparietal_18;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;258;0.282709
796;837;lh.inferiorparietal_16;lh.precuneus_15;60;61;ctx-lh-inferiorparietal;ctx-lh-precuneus;270;0.252492
796;866;lh.inferiorparietal_16;lh.lateraloccipital_3;60;64;ctx-lh-inferiorparietal;ctx-lh-lateraloccipital;227;0.202730
27;77;rh.medialorbitofrontal_3;rh.rostralmiddlefrontal_1;4;7;ctx-rh-medialorbitofrontal;ctx-rh-rostralmiddlefrontal;230;0.233501
27;76;rh.medialorbitofrontal_3;rh.rostralmiddlefrontal_26;4;7;ctx-rh-medialorbitofrontal;ctx-rh-rostralmiddlefrontal;212;0.189033
582;1010;lh.rostralmiddlefrontal_25;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;217;0.143863
